epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,13710.3,0.68559,0.57827,1.20955,1,0.95375,0.993,0.77146,0.80899,0.69879,1.4759,0.0008252,0.0008252,0.0008252
91,13844.5,0.73846,0.67114,1.23463,0.96051,0.92857,0.98725,0.76938,0.84664,0.65057,1.53613,0.000812,0.000812,0.000812
92,13985.2,0.72955,0.64488,1.2311,0.99846,0.85714,0.96341,0.73812,0.86785,0.65306,1.55014,0.0007988,0.0007988,0.0007988
93,14119.9,0.70053,0.5934,1.18372,0.86917,1,0.98425,0.73026,0.88488,0.63413,1.60344,0.0007856,0.0007856,0.0007856
94,14264.7,0.71968,0.58929,1.22534,0.91135,0.89286,0.94415,0.73135,0.86424,0.6394,1.60934,0.0007724,0.0007724,0.0007724
95,14410.1,0.67953,0.58629,1.21212,0.95667,0.89286,0.94754,0.72555,0.84785,0.67758,1.56068,0.0007592,0.0007592,0.0007592
96,14548,0.7346,0.6138,1.22597,0.89955,0.95967,0.9476,0.69816,0.80783,0.63408,1.50627,0.000746,0.000746,0.000746
97,14687.1,0.62757,0.54954,1.17423,0.9273,0.96429,0.97698,0.72193,0.78035,0.59659,1.48638,0.0007328,0.0007328,0.0007328
98,14827.9,0.6854,0.60038,1.18297,0.92576,0.96429,0.97732,0.73589,0.84143,0.645,1.52048,0.0007196,0.0007196,0.0007196
99,14965.9,0.64256,0.55948,1.16334,1,0.95891,0.993,0.77582,0.78162,0.60763,1.43579,0.0007064,0.0007064,0.0007064
100,15104,0.63808,0.56341,1.18792,1,0.99341,0.995,0.7962,0.75418,0.5843,1.3739,0.0006932,0.0006932,0.0006932
101,15242.1,0.67162,0.57804,1.20319,1,0.98321,0.995,0.82621,0.72179,0.54955,1.33015,0.00068,0.00068,0.00068
102,15380.4,0.63517,0.59622,1.16163,1,0.99747,0.995,0.78144,0.79765,0.61055,1.4161,0.0006668,0.0006668,0.0006668
103,15516.8,0.63967,0.58766,1.195,0.99257,0.92857,0.99157,0.72547,0.91809,0.61578,1.61203,0.0006536,0.0006536,0.0006536
104,15656.4,0.66659,0.56752,1.17452,0.95707,0.96429,0.98982,0.70677,0.91225,0.62121,1.66426,0.0006404,0.0006404,0.0006404
105,15793.9,0.63107,0.60379,1.17379,0.96269,0.92167,0.98711,0.70885,0.90366,0.67533,1.65955,0.0006272,0.0006272,0.0006272
106,15931.2,0.66363,0.59333,1.2104,0.99314,1,0.995,0.75162,0.82106,0.67733,1.491,0.000614,0.000614,0.000614
107,16066.4,0.62983,0.52711,1.14751,0.99676,1,0.995,0.7788,0.80992,0.62684,1.42095,0.0006008,0.0006008,0.0006008
108,16205.3,0.62622,0.52621,1.15351,0.99777,1,0.995,0.78934,0.76904,0.5921,1.36046,0.0005876,0.0005876,0.0005876
109,16339.5,0.63917,0.55273,1.16816,1,0.99551,0.995,0.7912,0.73469,0.58258,1.32158,0.0005744,0.0005744,0.0005744
110,16478.2,0.67297,0.5551,1.1791,0.9655,0.99953,0.99397,0.80051,0.72252,0.56706,1.3424,0.0005612,0.0005612,0.0005612
111,16614.5,0.61416,0.54456,1.15638,0.96539,0.99617,0.99397,0.81059,0.73164,0.54814,1.37203,0.000548,0.000548,0.000548
112,16753.3,0.60109,0.54001,1.16115,0.92973,1,0.99157,0.81251,0.72702,0.5428,1.39359,0.0005348,0.0005348,0.0005348
113,16888.8,0.58659,0.53053,1.14521,0.96404,0.95775,0.99157,0.79511,0.70117,0.52968,1.35884,0.0005216,0.0005216,0.0005216
114,17024.3,0.5638,0.53478,1.12097,0.99754,1,0.995,0.7975,0.72828,0.51317,1.36607,0.0005084,0.0005084,0.0005084
115,17161.5,0.53997,0.48202,1.10224,0.99842,1,0.995,0.80207,0.74635,0.50321,1.38057,0.0004952,0.0004952,0.0004952
116,17296.2,0.66055,0.55889,1.15697,0.99747,1,0.995,0.81032,0.72678,0.47884,1.40175,0.000482,0.000482,0.000482
117,17431.4,0.59416,0.56667,1.15122,0.99671,1,0.995,0.79807,0.75414,0.53087,1.43042,0.0004688,0.0004688,0.0004688
118,17569.5,0.58465,0.49898,1.11635,0.96047,1,0.99397,0.82068,0.7492,0.58264,1.43281,0.0004556,0.0004556,0.0004556
119,17706.3,0.6101,0.5143,1.14334,0.96337,1,0.99155,0.79792,0.74744,0.61512,1.44546,0.0004424,0.0004424,0.0004424
120,17842.5,0.60278,0.55196,1.15232,0.96526,0.9924,0.99259,0.77794,0.78325,0.66775,1.49214,0.0004292,0.0004292,0.0004292
121,17983.7,0.61094,0.52154,1.16151,1,0.99312,0.995,0.77294,0.80279,0.6915,1.47354,0.000416,0.000416,0.000416
122,18121.6,0.60879,0.50775,1.16114,0.95974,1,0.99155,0.76462,0.78996,0.61193,1.44546,0.0004028,0.0004028,0.0004028
123,18256.7,0.62353,0.51788,1.18183,0.95925,1,0.99155,0.77113,0.79848,0.60417,1.45744,0.0003896,0.0003896,0.0003896
124,18394.4,0.5712,0.51268,1.12377,0.96411,0.95963,0.98817,0.77686,0.78716,0.62679,1.45197,0.0003764,0.0003764,0.0003764
125,18545.7,0.56089,0.48479,1.1249,0.96185,0.96429,0.9896,0.76863,0.77654,0.64293,1.44977,0.0003632,0.0003632,0.0003632
126,18682.8,0.59086,0.48476,1.17549,1,0.99744,0.995,0.76181,0.76968,0.60856,1.48064,0.00035,0.00035,0.00035
127,18817.4,0.58719,0.50559,1.10955,1,0.99687,0.995,0.72531,0.7931,0.59377,1.50406,0.0003368,0.0003368,0.0003368
128,18954.4,0.63656,0.497,1.18345,0.99507,0.96429,0.99397,0.70787,0.81607,0.57482,1.50781,0.0003236,0.0003236,0.0003236
129,19093.5,0.56523,0.4551,1.10681,0.99795,0.96429,0.993,0.71835,0.83759,0.59519,1.49612,0.0003104,0.0003104,0.0003104
130,19230.4,0.59098,0.54133,1.16484,0.96296,1,0.99397,0.73263,0.7897,0.60303,1.42264,0.0002972,0.0002972,0.0002972
131,19365.7,0.53112,0.47477,1.08871,1,0.99653,0.995,0.75208,0.7677,0.63872,1.40125,0.000284,0.000284,0.000284
132,19500.7,0.53625,0.48118,1.10388,1,0.99828,0.995,0.76035,0.71821,0.66572,1.36204,0.0002708,0.0002708,0.0002708
133,19639.9,0.55789,0.45734,1.11063,1,0.99887,0.995,0.79805,0.69197,0.67094,1.32974,0.0002576,0.0002576,0.0002576
134,19775.9,0.52681,0.50132,1.13192,0.99769,0.96429,0.993,0.81115,0.68243,0.6088,1.31266,0.0002444,0.0002444,0.0002444
135,19914.1,0.54866,0.4363,1.07188,0.9601,1,0.99397,0.84095,0.70831,0.57171,1.32965,0.0002312,0.0002312,0.0002312
136,20048.4,0.55145,0.52285,1.13763,0.96067,1,0.99397,0.80432,0.75694,0.54892,1.3838,0.000218,0.000218,0.000218
137,20184.8,0.52312,0.47684,1.11156,1,0.98793,0.995,0.79918,0.76566,0.53494,1.39874,0.0002048,0.0002048,0.0002048
138,20320.4,0.49641,0.44722,1.08174,0.99705,0.96429,0.99397,0.80231,0.75942,0.59631,1.38806,0.0001916,0.0001916,0.0001916
