epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,169032,0.5678,1.1224,0.34049,0.46724,1.19817,0.97983,0.98649,0.98742,0.82355,0.95164,0.96622,0.94568,0.57961,0.73395,1.37104,0.36986,0.42679,1.37617,0.0010892,0.0010892,0.0010892
94,170706,0.55661,1.1413,0.35143,0.47024,1.18754,0.98522,0.98649,0.99119,0.81914,0.95135,0.9527,0.9402,0.58726,0.75861,1.38218,0.37387,0.43614,1.4114,0.0010793,0.0010793,0.0010793
95,172367,0.56565,1.17003,0.34582,0.48063,1.18882,0.98572,0.97973,0.99237,0.80966,0.9313,0.92568,0.89298,0.53571,0.75251,1.51498,0.35998,0.42116,1.42827,0.0010694,0.0010694,0.0010694
96,174042,0.57111,1.16696,0.34931,0.46214,1.18904,0.99002,0.98649,0.99174,0.808,0.94256,0.93919,0.89473,0.5835,0.76275,1.36846,0.3163,0.45321,1.4586,0.0010595,0.0010595,0.0010595
97,175720,0.57501,1.12168,0.34535,0.47931,1.19089,0.95962,0.97973,0.99075,0.80899,0.90663,0.92568,0.87611,0.55182,0.74848,1.39504,0.37879,0.44217,1.42886,0.0010496,0.0010496,0.0010496
98,177411,0.55721,1.15172,0.35483,0.45883,1.17984,0.95891,0.97297,0.98925,0.79343,0.90856,0.93996,0.91195,0.58286,0.7753,1.39748,0.37431,0.46027,1.43575,0.0010397,0.0010397,0.0010397
99,179115,0.56492,1.11069,0.3476,0.46635,1.17949,0.965,0.97973,0.98993,0.81256,0.92493,0.93919,0.90307,0.54564,0.73656,1.48963,0.46707,0.43303,1.42295,0.0010298,0.0010298,0.0010298
100,180795,0.54302,1.10387,0.33525,0.44912,1.16913,0.97688,0.97973,0.9918,0.82931,0.94189,0.94595,0.92136,0.58814,0.73336,1.37414,0.33482,0.42036,1.39196,0.0010199,0.0010199,0.0010199
101,182489,0.54005,1.13653,0.34463,0.44614,1.1714,0.98073,0.97297,0.99269,0.82594,0.948,0.93919,0.91913,0.57717,0.73135,1.43133,0.36291,0.42629,1.39378,0.00101,0.00101,0.00101
102,184176,0.57188,1.05909,0.33299,0.46526,1.18713,0.96051,0.98649,0.99301,0.82368,0.91441,0.93919,0.90239,0.54717,0.77486,1.48697,0.3675,0.43894,1.43782,0.0010001,0.0010001,0.0010001
103,185864,0.56294,1.09839,0.34703,0.46811,1.18087,0.97245,0.98649,0.98897,0.79316,0.93244,0.94595,0.90382,0.54391,0.81363,1.45221,0.37459,0.44747,1.49397,0.0009902,0.0009902,0.0009902
104,187535,0.54314,1.0813,0.34261,0.43819,1.17355,0.98405,0.97973,0.99034,0.83394,0.92971,0.92568,0.88027,0.57102,0.75529,1.36144,0.35033,0.42961,1.40479,0.0009803,0.0009803,0.0009803
105,189220,0.54759,1.05705,0.34359,0.44354,1.17708,0.95932,0.97973,0.98919,0.82364,0.91963,0.93919,0.89168,0.57926,0.74001,1.2984,0.33927,0.40977,1.39844,0.0009704,0.0009704,0.0009704
106,190885,0.51628,0.98358,0.3283,0.4358,1.158,0.98646,0.98464,0.99248,0.82689,0.94337,0.94595,0.91452,0.60301,0.76614,1.27566,0.32952,0.39222,1.4275,0.0009605,0.0009605,0.0009605
107,192557,0.55429,1.14483,0.34227,0.44942,1.17414,0.99319,0.98565,0.99318,0.83626,0.93881,0.93295,0.88767,0.58799,0.72956,1.36123,0.35035,0.40589,1.3907,0.0009506,0.0009506,0.0009506
